FSTR_LOOPGROUPID,FDT_TIME,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY,FINT_VH,FSTR_VALIDITY,FINT_LV,FINT_MV,FINT_SV,FINT_LS,FINT_MS,FINT_SS
6.11309E+14,2010/3/1 0:36,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:36,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:36,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:37,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:37,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:37,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:38,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:38,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:38,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:39,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:39,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:39,1,74,1,2738,valid,0,0,1,0,0,74
6.11309E+14,2010/3/1 0:40,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:40,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:40,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:41,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:41,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:41,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:42,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:42,1,117,1,1543,valid,0,0,1,0,0,117
6.11309E+14,2010/3/1 0:42,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:43,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:43,1,96,1,646,valid,0,0,1,0,0,96
6.11309E+14,2010/3/1 0:43,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:44,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:44,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:44,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:45,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:45,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:45,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:46,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:46,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:46,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:47,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:47,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:47,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:48,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:48,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:48,0,0,0,0,valid,0,0,0,0,0,0
